chart_week,current_week,title,performer,spotify_link
2022-09-17,5,About Damn Time,Lizzo,https://open.spotify.com/track/6HMtHNpW6YPi1hrw9tgF8P
2022-09-24,1,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-09-24,2,Bad Habit,Steve Lacy,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy
2022-09-24,3,Super Freaky Girl,Nicki Minaj,https://open.spotify.com/track/4C6Uex2ILwJi9sZXRdmqXp
2022-09-24,4,Sunroof,Nicky Youre & dazy,https://open.spotify.com/track/5YqEzk3C5c3UZ1D5fJUlXA
2022-09-24,5,I Like You (A Happier Song),Post Malone Featuring Doja Cat,
2022-10-01,1,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-10-01,2,Bad Habit,Steve Lacy,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy
2022-10-01,3,I Like You (A Happier Song),Post Malone Featuring Doja Cat,
2022-10-01,4,Sunroof,Nicky Youre & dazy,https://open.spotify.com/track/5YqEzk3C5c3UZ1D5fJUlXA
2022-10-01,5,Super Freaky Girl,Nicki Minaj,https://open.spotify.com/track/4C6Uex2ILwJi9sZXRdmqXp
2022-10-08,1,Bad Habit,Steve Lacy,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy
2022-10-08,2,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-10-08,3,Unholy,Sam Smith & Kim Petras,https://open.spotify.com/track/3nqQXoyQOWXiESFLlDF1hG
2022-10-08,4,I Like You (A Happier Song),Post Malone Featuring Doja Cat,
2022-10-08,5,Sunroof,Nicky Youre & dazy,https://open.spotify.com/track/5YqEzk3C5c3UZ1D5fJUlXA
2022-10-15,1,Bad Habit,Steve Lacy,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy
2022-10-15,2,Unholy,Sam Smith & Kim Petras,https://open.spotify.com/track/3nqQXoyQOWXiESFLlDF1hG
2022-10-15,3,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-10-15,4,I Like You (A Happier Song),Post Malone Featuring Doja Cat,
2022-10-15,5,Sunroof,Nicky Youre & dazy,https://open.spotify.com/track/5YqEzk3C5c3UZ1D5fJUlXA
2022-10-22,1,Bad Habit,Steve Lacy,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy
2022-10-22,2,Unholy,Sam Smith & Kim Petras,https://open.spotify.com/track/3nqQXoyQOWXiESFLlDF1hG
2022-10-22,3,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-10-22,4,I Like You (A Happier Song),Post Malone Featuring Doja Cat,
2022-10-22,5,You Proof,Morgan Wallen,https://open.spotify.com/track/5W4kiM2cUYBJXKRudNyxjW
2022-10-29,1,Unholy,Sam Smith & Kim Petras,https://open.spotify.com/track/3nqQXoyQOWXiESFLlDF1hG
2022-10-29,2,Bad Habit,Steve Lacy,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy
2022-10-29,3,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2022-10-29,4,California Breeze,Lil Baby,https://open.spotify.com/track/6ug9fUi5oLLgQgOF1G8WkM
2022-10-29,5,I Like You (A Happier Song),Post Malone Featuring Doja Cat,
2022-11-05,1,Anti-Hero,Taylor Swift,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu
2022-11-05,2,Lavender Haze,Taylor Swift,https://open.spotify.com/track/5jQI2r1RdgtuT8S3iG8zFC
2022-11-05,3,Maroon,Taylor Swift,https://open.spotify.com/track/3eX0NZfLtGzoLUxPNvRfqm
2022-11-05,4,Snow On The Beach,Taylor Swift Featuring Lana Del Rey,
